"osm_id","type","population"
484662483,"commercial",0
484662487,"commercial",0
672824147,"commercial",0
672824154,"commercial",0
85445797,"commercial",0
85445820,"commercial",0
85445860,"commercial",0
178153963,"commercial",0
672824159,"commercial",0
672824160,"commercial",0
361376620,"commercial",0
178991423,"residential",0
361376621,"commercial",0
361376622,"commercial",0
361376623,"commercial",0
361376624,"commercial",0
179833520,"commercial",0
118603955,"commercial",0
108331850,"commercial",2
178153959,"commercial",2
672821798,"commercial",0
672821801,"commercial",0
672821881,"commercial",0
672821882,"commercial",0
672821872,"commercial",0
672821874,"commercial",0
126868700,"commercial",0
85314594,"commercial",0
126868705,"commercial",0
126868707,"commercial",0
190486282,"commercial",0
190486284,"commercial",0
190486286,"commercial",0
190486247,"commercial",0
190486296,"commercial",0
190486320,"commercial",0
190486293,"commercial",0
190486307,"commercial",0
190486253,"commercial",0
190486243,"commercial",0
190486341,"commercial",0
190486345,"commercial",0
190486354,"commercial",0
190486371,"commercial",0
190486374,"commercial",0
190486332,"commercial",0
190486398,"commercial",0
190486432,"commercial",0
210622082,"commercial",0
210622088,"commercial",0
179147636,"residential",0
307276534,"commercial",2
672821803,"commercial",0
672821799,"commercial",0
672821800,"commercial",0
672821868,"commercial",0
672821869,"commercial",0
672821870,"commercial",0
672821871,"commercial",0
672821875,"commercial",0
672821877,"commercial",0
672821878,"commercial",0
672821883,"commercial",0
672821884,"commercial",0
682844075,"commercial",0
247804657,"commercial",0
247804659,"commercial",0
247804661,"commercial",0
247804663,"commercial",0
197520607,"commercial",0
351695905,"commercial",0
351695908,"commercial",0
351695914,"commercial",0
512595997,"commercial",0
178118315,"residential",5
85314542,"commercial",0
85314546,"commercial",0
85314560,"commercial",0
85314562,"commercial",0
85314564,"commercial",0
85314603,"commercial",0
85314605,"commercial",0
85314624,"commercial",0
85314585,"commercial",0
134903474,"commercial",0
178153960,"commercial",0
178153964,"commercial",0
178153965,"commercial",0
184454598,"commercial",0
197520605,"commercial",0
197520608,"commercial",0
197520609,"commercial",0
197522691,"commercial",0
197522695,"commercial",0
370381367,"commercial",0
512595998,"commercial",0
512766531,"commercial",0
734116234,"commercial",0
972941074,"commercial",0
134903019,"commercial",0
85314539,"commercial",0
290567690,"commercial",0
290567704,"commercial",0
290567708,"commercial",0
290567710,"commercial",0
85314618,"commercial",0
159866408,"commercial",0
184446313,"commercial",0
184446314,"commercial",0
240917704,"commercial",0
240917714,"commercial",0
184446315,"commercial",0
240917706,"commercial",0
673044777,"commercial",0
85445775,"commercial",0
85445780,"commercial",0
85445789,"commercial",0
85445792,"commercial",0
85445818,"commercial",0
85445857,"commercial",0
264471531,"commercial",0
361376616,"commercial",0
361376618,"commercial",0
672824221,"commercial",0
672824223,"commercial",0
672824224,"commercial",0
672824226,"commercial",0
672824227,"commercial",0
672824228,"commercial",0
539168621,"commercial",0
539210103,"commercial",0
571212262,"commercial",0
85445828,"commercial",0
85445764,"commercial",0
85445816,"commercial",0
216615742,"commercial",0
216615743,"commercial",0
902712195,"commercial",2
902712196,"commercial",0
902712197,"commercial",0
902712198,"commercial",0
246494597,"commercial",0
246494601,"commercial",0
307276529,"commercial",0
674412603,"commercial",0
674412605,"commercial",0
674412607,"commercial",0
674412609,"commercial",0
246492155,"commercial",0
307276537,"commercial",0
99711501,"commercial",0
197522692,"commercial",0
190486292,"commercial",0
190486309,"commercial",0
190486336,"commercial",0
190486266,"commercial",0
190486278,"commercial",0
190486388,"commercial",0
210625992,"commercial",0
210625993,"commercial",0
190486275,"commercial",0
44864796,"commercial",0
512763032,"commercial",0
512763033,"commercial",0
105020959,"commercial",0
190486280,"commercial",0
179833521,"commercial",0
179833522,"commercial",0
179833523,"commercial",0
183906703,"commercial",0
190486251,"commercial",0
190486304,"commercial",0
190486236,"commercial",0
190486257,"commercial",0
190486334,"commercial",0
190486347,"commercial",0
190486357,"commercial",0
190486325,"commercial",0
190486330,"commercial",0
190486381,"commercial",0
197522693,"commercial",0
197522696,"commercial",0
197522697,"commercial",0
190486419,"commercial",0
190486434,"commercial",0
210622079,"commercial",0
210622080,"commercial",0
210622081,"commercial",0
210622083,"commercial",0
210622085,"commercial",0
210622086,"commercial",0
210622087,"commercial",0
210625039,"commercial",0
210625043,"commercial",0
210625044,"commercial",0
210625045,"commercial",0
210625042,"commercial",0
210625047,"commercial",0
512763030,"commercial",0
536723379,"commercial",0
536723380,"commercial",0
536723381,"commercial",0
536723386,"commercial",0
536723387,"commercial",0
536723389,"commercial",0
536723390,"commercial",0
179833531,"commercial",0
38102762,"commercial",0
177305409,"residential",1
178326016,"residential",1
118603953,"commercial",0
118603956,"commercial",0
326678085,"commercial",0
326678089,"commercial",0
845945162,"commercial",0
255529222,"commercial",0
845945163,"commercial",0
85445810,"commercial",0
100655985,"commercial",0
190486268,"commercial",0
190486238,"commercial",0
190486394,"commercial",0
190486349,"commercial",0
190486385,"commercial",0
190486415,"commercial",0
480135945,"residential",0
255529217,"commercial",0
317379156,"commercial",0
255518424,"commercial",0
255529219,"commercial",0
177436035,"commercial",0
488790759,"commercial",0
200313003,"industrial",12
200313012,"industrial",2
317906133,"industrial",0
317938354,"industrial",0
317938356,"industrial",0
317938358,"industrial",0
480330759,"residential",0
480330761,"residential",3
480330739,"residential",2
480330753,"residential",1
480330788,"residential",5
480330789,"residential",0
480330751,"residential",0
480330752,"residential",2
480330754,"residential",0
480330755,"residential",0
480330757,"residential",1
480135875,"residential",2
480135909,"residential",3
480135910,"residential",0
480135911,"residential",0
480135912,"residential",1
480135927,"residential",0
480135872,"residential",3
480135876,"residential",1
480135879,"residential",2
488493185,"residential",6
480135881,"residential",2
480135895,"residential",2
480135897,"residential",2
480135906,"residential",0
480135835,"residential",0
480135907,"residential",2
480135908,"residential",0
480135943,"residential",0
480135944,"residential",2
480565796,"residential",6
480135894,"residential",0
480135896,"residential",0
556535843,"residential",1
177269745,"residential",7
480135874,"residential",2
480135885,"residential",1
480135886,"residential",1
480135889,"residential",0
480135890,"residential",2
480135892,"residential",0
480135893,"residential",1
480135899,"residential",2
480135900,"residential",3
480135902,"residential",2
480135903,"residential",0
480135905,"residential",2
480135887,"residential",0
480135891,"residential",0
480135901,"residential",1
480135904,"residential",0
673278557,"residential",4
480135855,"residential",0
480135856,"residential",2
480135871,"residential",3
480135884,"residential",2
480135882,"residential",1
480135883,"residential",2
480135898,"residential",0
480135848,"residential",7
480135849,"residential",2
480135852,"residential",1
480135853,"residential",0
480135854,"residential",2
480330784,"residential",1
480330773,"residential",0
480330781,"residential",1
208876048,"residential",0
480330785,"residential",0
480330786,"residential",6
480330793,"residential",1
480330794,"residential",2
480330795,"residential",1
480330797,"residential",5
480330799,"residential",0
480330800,"residential",0
480330801,"residential",1
480330763,"residential",2
480330765,"residential",1
480330766,"residential",0
480565829,"residential",6
480330767,"residential",0
480330768,"residential",1
480330769,"residential",1
480330770,"residential",1
480330737,"residential",1
480330771,"residential",5
480330772,"residential",2
480330774,"residential",2
480330775,"residential",1
480135926,"residential",4
481072127,"residential",6
480330776,"residential",1
480330777,"residential",1
480330778,"residential",0
480330787,"residential",1
480135838,"residential",2
